word,valence,count,average_valence
service,40.726,19,2.14347368421053
services,7.68,18,0.426666666666667
share,17.56,27,0.65037037037037
shares,1.71,5,0.342
shipping,1.66,9,0.184444444444444
shows,14.58,4,3.645
small,2.03,5,0.406
smart,-2.142,6,-0.357
social,0.44,10,0.044
software,-0.802,8,-0.10025
solar,-1.02,6,-0.17
solutions,-0.02,5,-0.004
sports,18.236,13,1.40276923076923
stage,4.28,6,0.713333333333333
state,0.22,5,0.044
states,3.92,6,0.653333333333333
still,3.08,5,0.616
stock,5.85,12,0.4875
stocks,3.56,6,0.593333333333333
storage,-0.48,5,-0.096
store,1.756,12,0.146333333333333
stores,1.75,4,0.4375
story,8.31,6,1.385
strategy,0.09,4,0.0225
street,4.65,5,0.93
subscribe,2.02,7,0.288571428571429
subscriber,5.98,6,0.996666666666667
summit,1.92,5,0.384
sunday,8.298,5,1.6596
support,5.82,11,0.529090909090909
surface,0.18,5,0.036
system,0.06,4,0.015
systems,7.28,4,1.82
tablet,0.83,9,0.0922222222222222
tablets,4.75,11,0.431818181818182
techcrunch,6.47,5,1.294
technology,10.598,16,0.662375
terms,4.58,13,0.352307692307692
things,9.77,13,0.751538461538461
think,-0.2,4,-0.05
thinking,-0.64,5,-0.128
third,-0.43,4,-0.1075
today,13.56,16,0.8475
traffic,2.76,5,0.552
travel,11.48,7,1.64
treatment,0.37,4,0.0925
tripadvisor,5.38,6,0.896666666666667
tweet,-0.53,4,-0.1325
twitter,25.046,30,0.834866666666667
typhoon,8.11,7,1.15857142857143
unfollow,1.92,5,0.384
united,7.988,8,0.9985
updated,-1.142,5,-0.2284
using,11.438,10,1.1438
valid,7.15,23,0.310869565217391
value,-0.64,6,-0.106666666666667
verge,8.58,7,1.22571428571429
video,28.92,23,1.25739130434783
videos,7.558,9,0.839777777777778
views,1.92,5,0.384
votes,5.38,6,0.896666666666667
walmart,1.5,4,0.375
washington,14.288,5,2.8576
watch,17.598,7,2.514
water,2.19,6,0.365
weather,-0.74,6,-0.123333333333333
width,0.4,6,0.0666666666666667
windows,14.368,19,0.756210526315789
world,47.818,30,1.59393333333333
would,15.028,19,0.790947368421053
x201c,5.38,6,0.896666666666667
x201d,5.38,6,0.896666666666667
yahoo,7.97,4,1.9925
years,19.898,14,1.42128571428571
