uid,mdate,predicted_change,actual_change,ticker,company_name,difference,difference_percentage
"MSFT: 18 11 2013",2013-11-18,0.632143115651,-0.641,MSFT,Microsoft,-1.273143115651,-1.0140108847659899
"MSFT: 19 11 2013",2013-11-19,0.33993962555999996,-0.46,MSFT,Microsoft,-0.79993962556,-1.3531814634502182
"MSFT: 20 11 2013",2013-11-20,0.242636353988,NULL,MSFT,Microsoft,NULL,NULL
"NEE: 18 11 2013",2013-11-18,0.500810982911,0.49,NEE,"Next Era Energy",-0.010810982911000022,0.978413047477193
"NEE: 19 11 2013",2013-11-19,0.460589267257,-1.76,NEE,"Next Era Energy",-2.220589267257,-3.8211919493511637
"NEE: 20 11 2013",2013-11-20,0.105906523206,NULL,NEE,"Next Era Energy",NULL,NULL
"NFLX: 18 11 2013",2013-11-18,2.6783802189199992,-7.99,NFLX,Netflix,-10.66838021892,-2.9831462850415615
"NFLX: 19 11 2013",2013-11-19,-0.735297585144,-4.48,NFLX,Netflix,-3.7447024148560004,6.092771267734602
"NFLX: 20 11 2013",2013-11-20,0.360533531069,NULL,NFLX,Netflix,NULL,NULL
"PG: 18 11 2013",2013-11-18,0.714215921062,-0.27,PG,"Procter & Gamble",-0.9842159210620001,-0.3780369381832384
"PG: 19 11 2013",2013-11-19,0.44838282638900007,-0.23,PG,"Procter & Gamble",-0.678382826389,-0.5129545256054493
"PG: 20 11 2013",2013-11-20,0.387658495882,NULL,PG,"Procter & Gamble",NULL,NULL
"WMT: 18 11 2013",2013-11-18,2.59534811906,1,WMT,Walmart,-1.59534811906,0.6268224395997114
"WMT: 19 11 2013",2013-11-19,0.45517069154400003,0.03,WMT,Walmart,-0.425170691544,0.06590934029217914
"WMT: 20 11 2013",2013-11-20,0.446362150531,NULL,WMT,Walmart,NULL,NULL
"XOM: 18 11 2013",2013-11-18,0.978957728351,0.18,XOM,"Exxon Mobil",-0.7989577283510001,0.18386902190679877
"XOM: 19 11 2013",2013-11-19,0.597144503881,-0.03,XOM,"Exxon Mobil",-0.6271445038810001,-0.05023909590563434
"XOM: 20 11 2013",2013-11-20,0.492027470033,NULL,XOM,"Exxon Mobil",NULL,NULL
