uid,mdate,predicted_change,actual_change,ticker,company_name,difference,difference_percentage
"AAPL: 03 12 2013",2013-12-03,4.56479248858,15.092,AAPL,Apple,10.52720751142,0.30246438434799894
"AAPL: 04 12 2013",2013-12-04,6.7414351550000005,-1.322,AAPL,Apple,-8.063435155,-0.1961006773193534
"AAPL: 05 12 2013",2013-12-05,6.01089406288,2.901,AAPL,Apple,-3.1098940628800005,0.48262371115721237
"AAPL: 06 12 2013",2013-12-06,3.2404245202799995,-7.881,AAPL,Apple,-11.12142452028,-2.432088743520252
"AAPL: 27 11 2013",2013-11-27,9.66,12.56,AAPL,Apple,2.9000000000000004,0.7691082802547771
"AMGN: 03 12 2013",2013-12-03,0.8534615210659999,-1.02,AMGN,Amgen,-1.873461521066,-1.195132967126612
"AMGN: 04 12 2013",2013-12-04,0.9974812609590001,-0.38,AMGN,Amgen,-1.3774812609590001,-0.3809595376605469
"AMGN: 05 12 2013",2013-12-05,0.818877039413,0.28,AMGN,Amgen,-0.538877039413,0.34193167780197364
"AMGN: 06 12 2013",2013-12-06,0.535937166306,0.77,AMGN,Amgen,0.23406283369400005,0.696022293903896
"AMGN: 27 11 2013",2013-11-27,0.59951951952,0.15,AMGN,Amgen,-0.44951951952,0.25020036064896795
"AMZN: 03 12 2013",2013-12-03,1.62821610611,-7.64,AMZN,Amazon,-9.26821610611,-4.6922518278319085
"AMZN: 04 12 2013",2013-12-04,4.03127003533,1.3,AMZN,Amazon,-2.7312700353300006,0.3224790174329222
"AMZN: 05 12 2013",2013-12-05,2.6731991208800006,-1.47,AMZN,Amazon,-4.14319912088,-0.5499029191346155
"AMZN: 06 12 2013",2013-12-06,2.45406292456,2.46,AMZN,Amazon,0.005937075439999884,0.997586554699187
"AMZN: 27 11 2013",2013-11-27,4.81340643275,5.34,AMZN,Amazon,0.52659356725,0.9013869724250937
"BIIB: 03 12 2013",2013-12-03,4.44180466143,-7.08,BIIB,Brogen,-11.52180466143,-1.593946726536294
"BIIB: 04 12 2013",2013-12-04,4.82528811149,-1.94,BIIB,Brogen,-6.765288111489999,-0.40204853164735643
